k|packed
B|106515843_501681|fortune-5158490~07-12~11~23279 fortune-9381963~07-17~10~2 jack-0791267~07-15~00~19031 jack-6942375~07-10~00~104 fortune-5784897~07-08~00~0 -~08-01~00~24 jack-0235636~07-17~10~10128 fortune-8264027~07-10~11~2273 jack-0332976~07-18~10~722 jack-9190356~07-15~00~4 jack-8976184~07-10~00~26095 jack-5410491~07-08~00~157 fortune-7485957~07-12~10~26
B|106527686_501538|fortune-8358411~07-09~10~69 jack-4675903~07-09~10~76562 jack-5019003~07-09~10~0 -~07-09~00~0 jack-3992757~07-09~11~31 fortune-2085866~07-09~10~32030 -~07-09~00~1 jack-0435746~07-09~10~1238 Luddze~07-06~10~11570 fortune-2906611~07-09~10~6 fortune-2833227~07-10~11~18 jack-5684109~07-14~10~10 Joxyy11~07-09~10~304 jack-0959420~07-14~10~6 jack-4801745~07-09~10~25 jack-1653473~07-09~10~2 robank~07-10~11~228 jack-5477024~07-07~00~2 fortune-8847296~07-09~11~11769 Bruce2ju~07-09~10~248 fortune-5672737~07-09~11~16262 jack-4226915~07-09~10~0 -~07-10~00~0 Zeenish~07-09~10~7406 fortune-8963547~07-09~11~4132 fortune-8527619~07-09~10~1
B|106528924_501549|fortune-1997214~07-12~11~40566 fortune-6230739~07-14~10~2 jack-7928702~07-12~11~30530 jack-8440071~07-10~00~283 fortune-7108454~07-10~11~5307 jack-1637499~07-09~11~57049 jack-0815615~07-10~11~5820 jack-1328366~07-18~10~1 jack-3088834~07-09~10~23929 TurboMaster~07-09~11~2886 Ramonestapor2~07-15~11~19850 jack-5278445~07-11~11~3279 fortune-2640930~07-09~11~5987 jack-0700012~07-09~11~1709 fortune-8716417~07-14~10~3 -~07-15~00~1 MauAnchavalito~07-09~10~11880 sabrif11~07-09~11~14085 jack-5808690~07-10~11~6542 fortune-4943979~07-09~11~1710 fortune-6700411~07-11~11~3032 jack-2893338~07-10~11~1305 Comandante12~07-11~11~3080 fortune-5221606~07-09~11~5092 Sabbf11~07-11~10~8 Thiagossj~07-10~11~81259
B|106529519_501559|jack-5973581~07-08~00~2 fortune-1079951~07-08~00~3 fortune-1747760~07-08~00~2 fortune-6468170~07-08~00~12 fortune-9628718~07-08~00~5 jack-1475952~07-08~10~3 -~07-08~00~2 jack-6184524~07-08~00~2 jack-1495750~07-08~11~72098 jack-7318461~07-08~00~7 jack-0546310~07-08~11~1465 Viking07~07-08~11~23092 jack-3061543~07-08~00~3 jack-9897260~07-08~00~2 jack-1718873~07-08~00~8 jack-6618837~07-08~00~2 fortune-0055413~07-09~11~54299 fortune-8502541~07-08~00~4 fortune-6680861~07-08~00~1 jack-0784076~07-08~00~0 fortune-2742902~07-09~11~5158 Casaslots~07-08~10~47579 fortune-9786751~07-08~00~2 jack-7246698~07-08~10~19617 jack-2708719~08-13~11~47692 jack-3571544~07-08~00~47 jack-8406118~07-08~00~15 jack-7714479~06-22~10~37002 fortune-4672621~07-08~00~8 jack-7584237~07-09~11~25750 fortune-2897630~08-07~11~71858 fortune-7465146~07-08~00~0
B|106529566_501571|fortune-4305152~07-10~11~27 fortune-1995071~07-10~11~3 fortune-3041154~07-11~11~18 jack-3304040~07-09~11~35 fortune-3463682~07-10~11~38 fortune-5170533~07-10~11~37 fortune-6545266~07-11~11~23 jack-6297224~07-11~11~1 fortune-2664976~07-11~11~14 jack-2354857~07-11~11~16 jack-6038709~07-10~11~2 fortune-7107352~07-07~00~0
B|106543882_501637|jack-7330768~07-16~11~2866 -~07-27~00~1 jack-1714527~07-25~11~6368 fortune-3134641~07-16~11~4098 jack-6009801~07-28~10~10 jack-2022326~07-27~11~1680 jack-3230404~07-28~11~49402 jack-4483962~07-16~00~21190
B|106543882_502508|jack-0425533~07-25~11~2805 jack-2922643~07-15~11~18904 fortune-6786023~07-15~11~15160 fortune-0073136~07-26~11~1274 jack-2396359~07-28~11~11116 fortune-2550273~07-22~11~11188 jack-3098855~07-28~11~322 fortune-1155305~07-26~00~2600 jack-8584467~07-26~11~731 fortune-3865332~07-25~11~2552 jack-3046750~07-14~00~1 jack-5886411~07-29~11~10279 jack-8153453~08-06~11~633 fortune-1169373~07-15~11~18930 jack-1172574~07-28~11~206
B|106543882_503430|fortune-2033717~07-22~00~2 fortune-4266244~07-21~00~0 jack-6188086~07-21~00~0 jack-3530816~07-21~00~962
B|106544975_501688|fortune-3136587~07-14~11~8 fortune-3251165~07-10~11~67660 jack-0317245~07-10~11~91 fortune-9357096~07-08~00~0 jack-6394524~07-13~11~16 jack-4648812~07-10~11~20 jack-6470944~07-13~11~8 jack-5238996~07-13~11~6 fortune-0355000~07-13~11~8 jack-0954024~07-10~11~59 fortune-5399204~07-10~11~91 jack-0699449~07-10~11~87 fortune-9541128~07-14~11~39 fortune-9493232~07-12~11~622 jack-6481992~07-14~11~21 jack-5581488~07-14~11~5 jack-9510948~07-10~11~27
B|106545402_501939|jack-6193993~07-16~00~6 fortune-1973026~07-15~00~8729 fortune-6085174~07-08~10~26182 -~07-15~00~0 jack-7232563~07-12~10~2
B|106545741_501695|-~07-10~00~0 fortune-1506277~07-10~10~31638 fortune-8626083~07-12~11~2354 fortune-8768782~07-20~11~65940 pakeka~07-10~11~72236 Oldmanslim~07-10~10~44434 fortune-8314333~07-27~10~0 fortune-4905339~07-20~10~246
B|106545748_501694|fortune-9386880~07-19~00~11 NC123~07-12~10~35731 SPOTSNSLOTS~07-11~11~54477 jack-5445295~07-13~10~11827 Thodenne~07-13~11~32057 fortune-2210832~07-26~00~1 fortune-6273049~07-23~10~22 fortune-6913989~07-19~00~15812 crackedityo~07-13~11~63849 jack-7728168~07-22~11~28726
B|106545753_501693|jack-1914216~07-28~10~12469 jack-1906748~07-10~10~5 JPFLEX~07-09~10~32866 jack-1106114~07-11~00~8683 fortune-3074956~07-22~10~15774 fortune-7287469~07-11~11~12812 Jaymuck~07-12~00~11340 Use2Bblack~07-11~10~3144 -~07-20~00~0 jack-7945784~07-25~10~6 GogBlocker~07-30~11~41327 DIMBOSLICE~07-11~11~40617 jack-0350121~07-13~00~210 -~07-14~00~0 -~07-17~00~1 jack-3973376~07-11~11~8508 Stuy_t~07-12~11~37337 Lash3z~07-10~11~31729 nakeDaye~07-14~11~8456 jack-2799856~07-18~11~36983 fortune-5084638~07-10~00~15 fortune-0414726~07-17~00~9366 -~07-28~00~1 Queazy~07-16~11~47874 Clamz08~07-11~11~77044 -~07-20~00~1 Mika4234~07-13~10~24406 jack-0517475~07-30~00~1430 fortune-6435857~07-12~00~25307 -~07-20~00~1 jack-1205499~07-30~10~1
B|106545778_501692|jack-7591877~07-09~00~61781 fortune-4426697~07-16~11~28769 -~07-11~00~6 fortune-4709875~07-10~00~1412 jack-5193026~08-22~00~9 2ndsevan~07-10~10~39758 jack-2671572~07-09~00~20562 fortune-2682659~07-10~10~11 Baszomaszad01~07-09~11~159849 jack-4740240~07-15~11~149 -~07-09~00~0 fortune-0847898~07-09~11~10488 laczisensei~07-08~11~80381 fortune-0269578~07-09~10~9 fortune-5846858~07-01~10~11207 fortune-8963352~07-09~00~161 Marcyyka~07-15~00~0 LogicZulu~07-09~00~41600 fortune-2281932~07-12~00~52 Bbence56~07-09~11~1372 jack-9763088~07-10~10~3 jack-8579744~07-13~11~4889 jack-1516785~07-09~00~61663 jack-1653348~07-09~00~4 fortune-6514038~08-23~10~4 jack-7134363~07-10~10~1 -~07-09~00~1 fortune-7083191~07-09~00~1 fortune-8035478~07-09~11~34597 -~07-09~00~2 jack-2046262~07-09~11~75236 fortune-4698205~07-12~10~11 fortune-5237992~07-09~00~65012 -~07-12~00~0 Zsombi98~07-09~00~5812 jack-8574296~07-09~00~2 fortune-0360239~07-11~10~33 fortune-7513746~07-23~10~6 jack-8840684~07-12~00~31849 ArhamAhmed~07-12~00~6 -~07-09~00~1 DeryEryk9~07-09~11~37632 fortune-1764061~07-09~11~33744 Hooniebread~07-09~00~4908 jack-5023980~07-10~00~10 -~07-11~00~6 ONLYTHEWAYUP~07-09~10~20002 fortune-0067917~07-20~11~15402 jack-4958355~06-26~00~27714 fortune-6755500~07-09~11~69419 fortune-4543605~07-22~10~1571 jack-7924469~08-11~10~5 jack-5770609~07-11~00~9 jack-7597598~07-09~10~5070 alma1337~07-16~10~7 jack-2378104~06-24~11~22328 fortune-6455932~07-09~00~20837 jack-1635754~08-05~10~21 fortune-4417199~07-11~10~22 fortune-7138873~07-16~11~46 jack-9658035~07-09~00~10697 fortune-3368988~07-10~10~16 fortune-6387952~07-09~00~32706 csadam01~07-09~00~11518 fortune-1934179~07-09~10~4 irisfae~07-12~10~64586 jack-9260311~07-08~00~2 patyo04~07-08~11~80367 Delikoe46~07-09~11~56078 Miniminahils~07-12~10~6899 -~07-09~00~1 Roseycun~07-12~00~3152 Attta01~07-09~10~41199 fortune-4103543~07-12~00~1 fortune-3778391~07-09~00~1 jack-1995162~07-16~11~217 Kewke~07-09~11~28 -~07-10~00~1 jack-3950287~07-08~11~18762 jack-8093680~07-12~10~3 Dmjn1337~07-09~00~90130 fortune-9736045~08-08~00~146 jack-5904299~07-09~00~1433 fortune-2320722~07-16~11~13 Fearless1~07-10~00~1466 fortune-6517690~07-09~00~304 -~07-09~00~0 fortune-6238689~07-09~10~68135 -~07-09~00~1 jack-4432842~07-12~00~3 Lightc13~07-08~11~79205 jack-2926146~08-31~10~7 -~07-10~00~1 Kricsko~07-09~11~77873 jack-3117168~07-09~00~3 jack-6121007~07-12~10~66524
B|106545782_501691|fortune-6994356~07-25~00~4 fortune-8950107~07-25~10~1231 Sickjacken~07-24~11~17947 jack-8807740~07-23~10~18141 fortune-6533642~07-27~11~4348 fortune-0068044~08-08~10~5 fortune-7550680~07-25~10~133 jack-9278329~07-24~10~1 Seeker97~07-26~10~6175 jack-4527927~07-28~00~2911 fortune-1880696~07-28~00~161 fortune-7618002~08-07~00~0 jack-7621176~08-05~10~1337 -~07-23~00~1 jack-0298729~07-28~00~5 fortune-6274298~07-25~10~3 jack-5623511~07-25~00~1 fortune-9174765~07-30~10~4 fortune-0138506~07-26~10~36 -~07-25~00~3 jack-9107729~07-25~10~2 fortune-0918337~07-28~10~7 fortune-1220945~07-26~00~1 jack-7457775~07-28~00~2986 fortune-0292554~08-04~10~3 -~07-30~00~1 fortune-5795465~08-06~00~1 fortune-7598936~07-31~10~9 jack-9569805~07-25~00~1 jack-7049582~07-24~10~532 jack-1673145~08-10~10~1 Alexandrow777~07-26~10~29122 jack-5608935~07-22~10~2617 fortune-9396981~07-22~11~23 jack-0644929~07-25~10~3 fortune-8706562~07-25~10~2795
B|106547886_501932|fortune-8681660~07-11~00~0 fortune-6420441~07-12~10~18 jack-6757117~07-11~00~104 fortune-8650298~07-12~10~7
B|106549394_501765|jack-1041107~07-10~11~13549 fortune-2749509~08-07~11~8877 -~07-11~00~1 fortune-7461699~07-18~00~2 jack-7414879~07-10~11~64678 jack-4390930~08-12~11~1862 jack-2217865~07-08~10~68590 fortune-9532491~07-14~11~35839 fortune-8242911~08-07~11~11818 jack-9553229~08-08~11~11731 fortune-2771498~07-10~11~12332 jack-4960300~07-11~10~5 Felixdan21~07-10~11~59069 Pierinnn~08-05~11~1630 Aguchi~08-07~11~20 fortune-9027755~07-10~11~34 -~08-08~00~1 fortune-1263278~07-10~11~45641 fortune-9016945~07-10~11~14863 jack-1340920~08-05~10~1672 fortune-1057788~08-05~00~4 jack-6671401~08-07~11~12693 jack-9405558~07-10~11~40856 PeKelim~08-05~11~2988 Valen28~07-10~11~49313 JuliGa~07-09~11~3662 jack-0466742~08-05~11~37301 momito~07-17~11~33695 fortune-7291810~08-08~11~36 jack-9512335~07-09~00~3 fortune-5887527~07-11~00~7 jack-7065010~08-08~11~18 Tecla23~07-10~11~87 fortune-9405890~08-07~11~66 jack-5090529~08-06~11~13021
B|106552167_501937|MiciTV~07-08~10~34817 jack-1660627~07-11~11~21 jack-1154440~07-11~10~3893 jack-0442099~07-10~11~5535 fortune-6869816~07-10~00~2606 jack-3487211~07-11~11~23 fortune-4015804~07-10~11~96 jack-1378146~07-13~11~5 fortune-9760402~07-13~11~31 fortune-8841806~07-13~11~1388 fortune-8684044~07-10~00~261 Gagmiri~07-10~11~75 ELEMENTKICK~07-10~11~17
B|106553886_502210|jack-4947170~07-18~10~27032 jack-8153962~07-17~11~11 fortune-0361045~07-13~11~1621 -~07-13~00~0 jack-0913786~07-13~10~0 jack-8164129~07-17~00~0 fortune-7211481~07-14~10~1498 jack-8825896~07-13~10~7502 jack-6983302~07-14~11~33080 jack-6568815~07-13~10~7465 jack-0047007~07-14~11~10 -~07-18~00~1 fortune-8281287~07-13~11~60318 fortune-6030722~07-13~10~1495 GANGO01~07-18~10~137 jack-8159086~07-18~10~5924 jack-9063993~07-14~11~97 fortune-9994529~07-14~11~1 leanwithsprite~07-14~10~1504 jack-4652365~07-18~00~1 fortune-5048652~07-18~00~0 fortune-9989116~07-18~00~2 fortune-3966881~07-13~00~4
B|106561307_501794|fortune-1326054~07-17~00~1 fortune-8330409~08-09~00~1 fortune-3533011~07-16~10~67789 fortune-5408921~08-05~10~1 fortune-2777143~07-30~10~7384 fortune-0089415~07-16~00~1 fortune-6662524~07-17~00~2 fortune-1041770~08-13~00~3 jack-8780416~08-01~00~1 jack-4271976~07-18~00~9127 jack-3010741~07-25~10~2 jack-5991301~07-15~10~6 jack-8229687~08-26~00~1 fortune-5203323~07-18~10~430 fortune-2813697~08-18~10~2 -~07-26~00~0 fortune-0559478~07-28~00~1 jack-8975235~07-24~00~4 -~07-18~00~0 fortune-3721112~07-15~10~213 fortune-7926880~08-17~00~2 fortune-8590295~07-29~00~1 fortune-4400611~07-15~10~2 jack-0971890~08-26~00~2 jack-0871840~07-29~00~103 fortune-5786062~08-01~00~24 fortune-9316628~07-20~10~9728 jack-5486493~07-26~00~4 jack-8903947~08-03~10~9 jack-5161587~07-29~00~7 jack-4347786~07-18~10~2749 fortune-6910628~07-20~00~217 jack-9970909~08-10~10~5 -~07-09~00~1 jack-2450316~08-18~10~5 jack-4059311~07-18~00~18999 fortune-4004833~08-01~10~10 fortune-1727750~08-31~10~335 fortune-6623732~07-15~10~4 donizete2023~07-18~10~29317 Okubo33~07-19~10~84321 Emilia12~07-18~10~18878 fortune-2393955~07-29~00~2 fortune-4533249~07-16~00~5 -~08-11~00~1 fortune-9864278~07-17~10~1 Eckogirl007~08-24~11~2590 fortune-2922394~07-16~00~6 fortune-0745935~08-03~00~2 Gini22~07-17~11~92389 jack-2926755~07-20~10~46 fortune-3921669~07-20~00~1 fortune-9670419~07-20~00~4945 jack-5005554~07-17~00~2
B|106561336_501828|fortune-6919881~08-04~11~16 jack-5094152~07-31~10~1 Trumpf5656~08-03~11~42004 jack-1079746~08-01~11~84 fortune-6721593~08-03~11~21 jack-0813726~08-15~11~65 fortune-1015952~07-30~11~327 fortune-7522250~07-18~10~56381 fortune-2419907~07-27~11~31133 jack-7655677~08-05~11~1
B|106561338_501832|jack-2439670~07-17~10~51015 87_panzer~07-18~11~36765 jack-2210766~08-16~11~6594 zlKxsH~07-29~11~752 jack-0492915~08-08~11~40404 Driggon~08-11~11~1178 Linkii~07-18~11~9893 fortune-0044570~08-17~11~48 jack-5236271~08-11~11~31358 jack-1412089~07-24~11~38 fortune-6126038~07-27~10~2
B|106562375_502013|fortune-5831904~07-18~11~4096 fortune-5948842~07-14~00~1292 jack-4550875~07-09~10~69438 fortune-8869984~07-15~10~3139 fortune-4134962~07-15~11~32567 jack-1874590~07-15~11~229 fortune-1854826~07-08~11~41680
B|106562686_501833|LMSSARFA9~07-11~00~4294 -~07-11~00~1 fortune-5980181~07-10~00~1 fortune-6200038~07-11~00~0 fortune-4555906~07-13~00~35434 fortune-2731154~07-12~00~122
B|106631458_502249|Bradyarmo~07-16~11~66126 toxidwaste~07-14~11~27217 jack-1210406~07-27~00~6 jack-3563824~07-14~10~13 jack-5063515~07-14~10~11 BerrryKing~07-17~11~68030 jack-1993846~07-28~10~2 jack-9911523~07-22~11~8604 jack-0324835~07-16~11~17821 Maximuske~07-16~11~30868 jack-0406306~07-14~00~5 jack-3236521~07-14~00~36 jack-1845743~07-22~11~62969 jack-4297913~07-14~10~556 fortune-7267537~07-14~00~15 Abdoll08~07-14~10~19735 fortune-5478212~07-28~11~30642 jack-3101734~07-16~00~2745 jack-7948850~07-28~10~1 Faryu~07-22~11~4196 jack-0223015~07-16~00~32710 jack-0339836~07-17~11~67793 fortune-3207513~07-14~00~19580 fortune-8658161~07-14~10~18544 jack-7791797~07-22~10~8251 Jonppee~07-16~10~105430 jack-4370579~07-17~10~2 -~07-27~00~0 -~07-25~00~0 jack-7099971~07-13~10~25929 fortune-1496355~07-14~10~32939 fortune-0782609~07-16~10~5 -~07-14~00~0 scyhtee~07-22~10~3 jack-6816800~07-14~00~6 fortune-3181830~07-16~10~19691 Reiska-Aura~07-22~11~58115 jack-4154153~07-14~00~52 fortune-0687687~07-27~11~1174 fortune-0106456~07-28~10~1 fortune-5163815~07-15~11~1490 jack-2061946~07-28~11~5 jack-2761083~07-14~00~27 jack-9165635~07-29~11~24470 Itzbeenny~07-14~11~39650 -~07-14~00~1 jack-7823762~07-14~11~19725 Hemligt~07-22~11~8349 -~07-27~00~0 jack-0387014~08-13~11~23111 jack-2925744~07-27~00~914 fortune-9550113~07-14~10~70484 fortune-7414641~07-14~10~4 jack-8314392~07-16~10~3780 jack-0088737~07-14~11~11382 -~07-27~00~1 fortune-3489061~07-27~10~0 fortune-6095050~07-28~11~4 fortune-9812000~07-14~10~11388 tobbzz~07-14~11~71576 jack-1841932~07-27~00~1 fortune-4099940~07-14~11~11381 jack-4197918~07-14~11~11387 -~07-22~00~15 -~07-22~00~1 jack-1170892~07-16~00~16920 jack-3641417~07-16~10~70
B|106650788_502556|fortune-1881002~07-16~00~1 -~07-15~00~1 fortune-0145315~07-16~00~0 fortune-0251807~07-15~11~13 -~07-15~00~0 DANNCHE06~07-15~11~70618 fortune-6617944~07-15~00~2 jack-1310569~07-16~00~1 fortune-1351855~08-24~11~13731 jack-8169250~08-31~11~3312 jack-1736029~08-31~00~1363 Roshixk~07-15~11~70952
B|106650916_502564|jack-5152875~08-03~00~34071 fortune-4783181~09-02~11~76 jack-8869137~08-03~11~44021 jack-0419462~08-27~00~5 jack-4541230~08-03~10~36402 jack-1743113~08-17~10~165 fortune-6944668~07-22~11~50151 _DelaNaZ_~07-21~11~25999 jack-5601429~07-25~10~2245 jack-8363855~07-25~00~1 jack-0063273~07-27~00~7 jack-6509383~08-19~10~28 fortune-7384400~08-25~00~4 jack-1072451~08-11~00~20186 fortune-9277079~08-16~11~20110 fortune-9081511~07-21~11~24968 jack-7816633~07-27~00~0 fortune-9932025~07-18~11~734 -~07-17~00~1 jack-4454804~08-13~10~8 -~08-25~00~0 jack-4823125~08-13~11~2673 iCYAto~07-17~11~67849 jack-7771852~07-17~00~2 fortune-6956040~08-25~11~8735 fortune-1738009~08-01~11~2066 jack-9627977~07-29~11~44132 jack-4609857~08-11~00~1 fortune-8818249~08-25~10~2 jack-8519944~07-18~11~66035 jack-3664563~07-27~11~1417 dr_snuggles_SE~07-31~11~5965 fortune-3282642~07-17~00~1 jack-6431210~08-25~10~1 jack-5102098~08-27~00~6256 fortune-6844340~08-27~00~2 fortune-1668093~07-27~11~42499 jack-5609692~07-18~11~64901 jack-2068160~07-31~11~9830 jack-8385403~08-02~10~458 DJD24~08-25~10~11613 jack-9795538~07-17~11~41179 jack-8810074~07-27~11~45392 jack-0979799~08-25~11~16 jack-5541552~07-17~11~48732 jack-3064646~08-02~11~43565 fortune-9010941~08-20~10~4 jack-8745299~07-16~10~72049
B|106651867_502562|jack-8523573~07-16~10~5782 fortune-0927199~07-17~10~0 fortune-8910327~07-18~11~40 fortune-7247100~07-17~11~6 fortune-4641318~07-18~11~33 fortune-3122984~07-17~11~108 fortune-6864249~07-18~11~27 Megdaajo~07-18~11~64979 fortune-2199311~07-18~11~28 fortune-2089744~07-18~11~1070 jack-6415919~07-18~11~19 fortune-8529700~07-18~11~6 jack-8823940~07-17~11~951 jack-4259910~07-18~11~62 fortune-5476741~07-18~11~63 jack-9406093~07-18~11~57 jack-5931196~07-18~11~65 fortune-6658927~07-17~11~230 fortune-7914238~07-18~11~44 fortune-2964288~07-17~11~30287 fortune-8931081~07-18~11~117 jack-3743927~07-17~11~15 jack-3147968~07-18~11~66 fortune-0138094~07-18~11~13
B|106665501_507015|jack-9332079~08-28~00~3 -~08-26~00~1 jack-6108999~08-25~10~5 fortune-3598263~09-01~10~11 fortune-7482564~08-26~10~3 fortune-9736919~08-24~10~4 jack-8334308~08-26~11~14 jack-6573327~08-30~00~2 jack-8575350~09-02~10~5 jack-2457465~08-27~10~3 jack-3277684~08-30~00~1 fortune-0716712~08-28~10~0 -~08-29~00~1 -~08-25~00~1 fortune-7611758~08-29~11~83 fortune-5273242~08-26~10~29 jack-0244811~09-02~10~4 Illakayyyy~09-02~10~320 -~09-01~00~0 jack-5669619~08-30~10~5 fortune-4007774~09-02~10~7 fortune-2259178~09-01~10~5 jack-1646959~09-02~00~14 jack-2322470~08-30~00~0 fortune-1222293~08-26~10~2 jack-3881036~08-31~10~7 fortune-8121006~08-26~10~1 fortune-6481225~08-29~10~8 fortune-5258023~09-02~00~24 fortune-2501183~08-31~00~3 Della1994~09-01~10~22 jack-4069308~08-29~10~12 fortune-7052967~08-25~10~2 jack-4479866~08-31~10~3 fortune-1571879~08-27~00~8 jack-1480769~08-26~00~4 jack-7540026~09-01~00~2 jack-4638940~08-25~10~2 jack-4143609~08-31~10~6 fortune-6939044~08-26~00~2 fortune-2369402~09-02~10~24 jack-2225704~08-30~10~9
B|106672995_502892|fortune-6244335~07-18~10~19062 fortune-3194325~07-15~00~30309 jack-9568304~07-17~00~160 jack-1187537~07-17~00~19043
B|106685348_502890|fortune-8761879~07-20~11~10175 fortune-1514721~07-18~11~6903 jack-3712969~07-17~11~145 jack-0545047~07-18~11~6881 jack-3642780~07-17~11~13912 jack-7695811~07-17~11~88 fortune-1364660~07-21~11~2863 fortune-8996167~07-18~11~6882 Rocks~07-17~11~14388 jack-2368222~07-18~11~66 fortune-3602951~07-21~00~3 fortune-4666381~07-21~11~11508 fortune-4617298~07-18~11~39 fortune-7323943~07-21~11~2853 jack-1518300~07-18~11~10 fortune-2876204~07-17~00~5 fortune-4629015~07-18~11~225 fortune-1798585~07-20~11~12663 fortune-0338993~07-20~11~12662 fortune-6642142~07-20~11~12664 fortune-2044297~07-17~11~41 jack-9351148~07-17~11~46 -~07-21~00~1 jack-9235998~07-20~11~12642 -~07-21~00~2 fortune-7429995~07-21~11~1366 jack-1995144~07-18~11~6894 fortune-3665141~07-18~11~4637 fortune-7984053~07-21~11~48 jack-1954319~07-21~11~2858 Nastys~07-17~11~14300 fortune-4378174~07-21~11~11611 jack-8508615~07-20~11~12665 fortune-5796973~07-18~11~15722 jack-8780458~07-21~11~59 jack-5997274~07-21~11~1750 fortune-2117329~07-20~11~12721 fortune-6403143~07-21~11~1762 jack-9254849~07-18~11~215 fortune-4520604~07-21~11~41 fortune-7212042~07-18~11~131 jack-0174272~07-18~11~15613 jack-2082407~07-21~11~53 -~07-21~00~1 jack-9548853~07-18~11~12764 fortune-8648327~07-17~11~825 fortune-2204041~07-18~11~6885 fortune-2941785~07-21~11~2864 fortune-2108050~07-18~11~15721 jack-5889822~07-18~11~13146 jack-0073023~07-21~11~1411
B|106686283_502847|fortune-5391428~07-18~00~2 jack-6977587~07-18~11~26 jack-9301398~07-18~11~265 jack-5159809~07-18~00~7 fortune-7616815~07-18~00~5 -~07-18~00~1 -~07-19~00~0 jack-2256530~07-19~00~3 -~07-18~00~1 -~07-18~00~2 fortune-9817322~07-18~10~4 fortune-4705754~07-18~00~4 -~07-19~00~1 fortune-9298768~07-18~11~109 jack-8860196~07-18~11~2863 fortune-9928107~07-18~11~19 -~07-19~00~1 -~07-18~00~0 kenuzoo~07-18~00~1 jack-0798678~07-18~11~38 jack-1457666~07-18~00~1 -~07-21~00~1 -~07-18~00~1 jack-8620235~07-19~00~3 jack-8114448~07-18~00~131 fortune-8833235~07-18~11~1466 -~07-18~00~3 fortune-5104133~07-18~00~3 jack-9478215~07-18~00~1 -~07-18~00~3 jack-9985782~07-18~11~75 jack-6133813~07-18~11~15 jack-3083835~07-20~10~18 -~07-18~00~1 ARXSY~07-17~10~57942 -~07-18~00~0
B|106752094_503292|fortune-7000993~07-22~11~15 jack-3512360~07-25~11~4 jack-1464405~07-21~00~1 jack-0431684~08-20~11~13603 jack-5721839~08-20~11~4171 jack-3202608~07-21~00~1 fortune-2164261~07-21~11~1469 jack-5672636~07-21~11~88 -~07-22~00~0
B|106765045_504269|jack-7340749~08-01~11~24146 jack-7196944~08-02~00~17 fortune-3362497~08-07~10~1068 fortune-8436455~08-07~10~9 -~08-07~00~0 fortune-6338162~08-01~10~1763 -~08-01~00~1 fortune-8781841~08-04~00~3123 fortune-8354954~08-06~00~6 -~08-01~00~1 jack-9497247~07-31~10~9011 jack-2792087~07-31~11~107 fortune-7953743~08-06~10~27209 fortune-9966524~08-04~00~4 fortune-0015007~08-05~00~11 jack-1287769~08-05~00~2097 jack-1639640~08-06~10~29 jack-2820083~08-02~00~1 fortune-3042712~08-07~10~1786 -~08-07~00~1 fortune-2979737~08-04~00~6 fortune-7190544~08-08~00~754 -~08-08~00~2 jack-2155062~08-03~10~7405 fortune-5163130~08-07~00~3 fortune-3970923~08-02~10~3 fortune-2192801~08-05~10~96 fortune-5293922~08-07~11~26153 fortune-4174862~08-07~10~7 jack-1276266~08-08~10~1 jack-6604393~08-08~00~4 jack-2405356~08-01~10~12 fortune-0586209~08-05~10~13 fortune-5366748~08-06~00~3 fortune-5483091~08-02~00~3 -~08-07~00~0 fortune-0649005~08-03~10~3184 jack-0230600~08-07~10~255 fortune-4057303~08-08~10~28 fortune-3216587~08-08~00~6 -~08-07~00~1 -~08-07~00~0 fortune-8886656~08-08~10~3 -~08-07~00~1 jack-9244607~08-07~10~2747 fortune-3892166~08-07~00~4 fortune-6993867~08-02~11~845 fortune-3982666~08-07~10~61 jack-1916900~08-03~00~126 -~08-07~00~1 fortune-4277577~08-03~00~3 jack-2782718~08-08~10~2 jack-3098010~08-02~10~1301 jack-5288125~08-08~00~9 jack-1771790~08-01~10~983 jack-3200471~08-01~00~4 -~08-07~00~2 fortune-9523907~08-06~10~14390 fortune-4948707~08-07~11~19892 -~08-09~00~11505 fortune-0441950~08-03~10~5049 jack-8833701~08-07~00~3065 jack-3842373~08-07~10~1581 jack-3983431~08-06~10~34457 jack-0928874~08-08~00~1000
B|106765045_504271|fortune-4401501~07-30~10~2940 -~07-30~00~1 jack-4013369~07-30~10~14570 jack-0563990~07-30~00~1047 jack-5419793~07-30~10~5 jack-6913718~07-31~10~3693 jack-1842628~07-30~10~1472 jack-5336049~07-30~10~5 jack-0655681~08-01~10~394 jack-8325336~07-31~10~3764 fortune-2429376~07-30~00~6881 jack-7609189~07-30~10~19860 -~07-30~00~2 fortune-5140993~07-30~00~7 jack-6813140~08-01~10~13 jack-0288627~07-30~10~6 jack-1989153~07-30~10~1858
