c|packed
Luxembourg|06-01~5,0,0,0,0 08-24~10,4,3,3,2 07-12~7,1,1,1,0 08-05~10,0,0,0,0 08-09~12,0,0,0,0 07-24~8,1,0,0,0 07-15~5,1,0,0,0 08-02~11,0,0,0,0 05-27~8,0,0,0,0 06-29~8,0,0,0,0 08-22~7,1,1,0,0 08-18~6,2,1,0,0 05-04~5,0,0,0,0 07-03~6,0,0,0,0 08-14~7,0,0,0,0 07-08~6,0,0,0,0 2026-08~61,18,13,8,4 2026-09M~8,1,0,0,0 05-22~6,0,0,0,0 06-20~7,0,0,0,0 08-03~12,2,1,1,0 07-14~5,0,0,0,0 08-12~5,1,0,0,0 07-05~5,0,0,0,0 05-30~8,0,0,0,0 05-07~6,0,0,0,0 06-09~8,0,0,0,0 07-11~2,0,0,0,0 08-06~7,0,0,0,0 07-23~7,0,0,0,0 08-08~6,0,0,0,0 08-17~5,0,0,0,0 06-25~4,0,0,0,0 08-23~6,2,2,2,1 2026-05~41,13,4,1,0 07-26~7,0,0,0,0 08-31~6,0,0,0,0 08-25~7,0,0,0,0 08-19~5,0,0,0,0 05-12~7,0,0,0,0 09-02~4,0,0,0,0 06-15~12,1,1,1,0 07-21~7,1,0,0,0 07-19~8,1,1,1,0 06-23~8,1,0,0,0 05-02~6,0,0,0,0 05-05~6,0,0,0,0 07-16~5,0,0,0,0 08-01~8,0,0,0,0 08-20~3,0,0,0,0 05-31~9,0,0,0,0 05-23~5,0,0,0,0 08-29~4,0,0,0,0 06-21~6,1,1,1,1 all~150,48,28,18,7 07-28~8,1,0,0,0 05-17~6,0,0,0,0 06-19~8,0,0,0,0 2026-06M~9,1,1,1,1 06-12~8,0,0,0,0 06-11~6,0,0,0,0 2026-07~57,11,6,5,1 07-04~9,0,0,0,0 08-13~7,1,1,0,0 2026-08M~13,0,0,0,0 08-04~9,0,0,0,0 07-13~6,0,0,0,0 07-09~3,1,0,0,0 07-18~7,1,1,1,0 08-28~6,0,0,0,0 07-17~8,1,1,0,0 05-01~9,1,0,0,0 06-03~5,0,0,0,0 08-16~7,0,0,0,0 07-01~6,0,0,0,0 08-30~5,0,0,0,0 07-27~11,0,0,0,0 07-30~11,1,1,1,1 08-27~8,1,1,1,0 07-29~11,0,0,0,0 07-20~7,0,0,0,0 05-24~8,1,0,0,0 06-07~6,0,0,0,0 05-09~7,1,0,0,0 05-25~8,0,0,0,0 05-10~5,0,0,0,0 05-11~7,2,0,0,0 05-06~6,0,0,0,0 06-08~5,0,0,0,0 06-30~9,1,0,0,0 06-02~8,1,1,1,1 2026-09~8,1,0,0,0 06-10~6,0,0,0,0 2026-07M~8,0,0,0,0 08-11~4,1,0,0,0 07-06~5,0,0,0,0 06-27~7,0,0,0,0 05-29~7,1,0,0,0 08-21~4,1,1,0,0 05-20~8,1,1,0,0 08-15~6,0,0,0,0 07-02~7,0,0,0,0 2026-06~41,7,5,4,2 05-14~6,3,2,1,0 05-15~8,1,1,0,0 2026-05M~10,1,0,0,0 06-06~6,0,0,0,0 05-08~7,1,0,0,0 06-13~6,0,0,0,0 05-16~5,0,0,0,0 06-18~3,0,0,0,0 06-14~9,1,1,0,0 07-07~12,0,0,0,0 08-10~6,1,1,1,0 07-22~4,0,0,0,0 05-21~6,0,0,0,0 07-25~8,2,1,0,0 06-22~11,0,0,0,0 06-26~7,0,0,0,0 05-28~15,0,0,0,0 06-17~6,0,0,0,0 05-19~6,0,0,0,0 06-24~6,1,1,1,0 05-26~6,0,0,0,0 06-28~9,0,0,0,0 08-26~6,1,1,0,0 07-31~6,0,0,0,0 06-05~5,0,0,0,0 05-13~5,0,0,0,0 08-07~7,0,0,0,0 07-10~4,0,0,0,0 05-03~6,0,0,0,0 09-01~7,1,0,0,0 06-16~9,0,0,0,0 05-18~8,1,0,0,0 06-04~7,0,0,0,0 se~2146,1226,397,2.7,4.49
Macao|06-01~1,0,0,0,0 2026-05~1,0,0,0,0 07-21~1,0,0,0,0 06-26~1,0,0,0,0 07-22~1,0,0,0,0 2026-06M~1,0,0,0,0 05-20~1,0,0,0,0 08-25~1,0,0,0,0 07-27~1,0,0,0,0 06-21~1,0,0,0,0 all~4,0,0,0,0 2026-06~2,0,0,0,0 05-29~1,0,0,0,0 2026-08~1,0,0,0,0 2026-07~2,0,0,0,0
Madagascar|07-17~1,0,0,0,0 07-31~3,0,0,0,0 07-11~1,0,0,0,0 2026-05~5,4,2,1,0 07-27~1,0,0,0,0 2026-06M~1,0,0,0,0 07-19~1,0,0,0,0 07-29~2,1,0,0,0 06-08~1,0,0,0,0 05-06~1,1,0,0,0 07-30~1,0,0,0,0 08-27~1,0,0,0,0 07-21~1,0,0,0,0 2026-06~14,8,4,2,0 05-23~1,1,1,0,0 07-07~1,1,1,0,0 07-24~4,1,1,0,0 06-01~1,0,0,0,0 07-10~1,0,0,0,0 2026-07M~1,0,0,0,0 2026-07~9,6,5,2,0 07-18~1,0,0,0,0 07-08~1,1,1,1,0 08-15~1,0,0,0,0 07-16~2,1,1,0,0 08-01~1,0,0,0,0 06-28~2,1,1,0,0 05-26~2,0,0,0,0 07-28~1,0,0,0,0 08-19~1,0,0,0,0 2026-08M~2,0,0,0,0 07-20~1,0,0,0,0 all~30,19,12,6,0 05-25~1,1,0,0,0 06-27~4,4,2,2,0 07-25~2,0,0,0,0 06-11~1,0,0,0,0 05-28~1,0,0,0,0 07-22~1,1,1,0,0 08-05~2,1,1,1,0 07-26~1,0,0,0,0 05-13~1,1,1,1,0 2026-08~6,1,1,1,0 06-30~2,1,0,0,0 07-23~1,0,0,0,0 07-01~1,0,0,0,0 08-02~1,0,0,0,0 06-29~3,1,0,0,0 05-27~1,0,0,0,0 06-20~1,1,1,0,0
Malawi|05-27~2,0,0,0,0 06-15~5,0,0,0,0 2026-05~8,1,0,0,0 06-08~3,0,0,0,0 07-10~4,0,0,0,0 05-03~1,1,0,0,0 2026-09~6,0,0,0,0 08-05~1,0,0,0,0 06-14~4,0,0,0,0 07-23~1,0,0,0,0 07-07~3,1,0,0,0 09-02~3,0,0,0,0 2026-06M~6,0,0,0,0 all~27,10,3,1,0 05-16~3,0,0,0,0 05-24~4,0,0,0,0 07-24~2,0,0,0,0 07-27~1,0,0,0,0 05-21~2,0,0,0,0 08-12~2,0,0,0,0 08-30~1,0,0,0,0 05-28~5,0,0,0,0 05-18~4,0,0,0,0 06-02~3,0,0,0,0 05-22~2,0,0,0,0 07-03~4,0,0,0,0 07-28~2,0,0,0,0 06-30~8,2,0,0,0 07-16~3,0,0,0,0 06-17~6,0,0,0,0 05-19~2,0,0,0,0 2026-06~21,7,1,0,0 07-11~3,0,0,0,0 06-09~4,0,0,0,0 08-02~2,0,0,0,0 2026-08~10,0,0,0,0 06-18~5,0,0,0,0 05-09~2,0,0,0,0 05-13~2,0,0,0,0 07-20~3,0,0,0,0 05-06~3,0,0,0,0 07-17~2,1,1,0,0 08-13~2,0,0,0,0 07-08~5,0,0,0,0 06-10~6,0,0,0,0 06-06~3,0,0,0,0 08-07~4,0,0,0,0 2026-09M~6,0,0,0,0 05-31~3,0,0,0,0 07-21~2,0,0,0,0 08-25~2,0,0,0,0 06-25~4,0,0,0,0 05-29~3,0,0,0,0 07-12~5,0,0,0,0 08-18~3,0,0,0,0 08-11~4,0,0,0,0 08-09~1,0,0,0,0 08-29~1,0,0,0,0 06-22~3,0,0,0,0 08-22~2,0,0,0,0 08-21~5,0,0,0,0 07-15~3,0,0,0,0 07-05~3,0,0,0,0 06-04~3,0,0,0,0 05-10~1,0,0,0,0 05-11~3,0,0,0,0 05-08~2,0,0,0,0 07-06~2,0,0,0,0 08-10~2,0,0,0,0 2026-08M~2,0,0,0,0 08-31~1,0,0,0,0 05-17~3,0,0,0,0 08-16~3,0,0,0,0 07-04~4,0,0,0,0 08-06~2,0,0,0,0 08-08~3,0,0,0,0 05-14~3,0,0,0,0 05-15~2,0,0,0,0 06-13~4,0,0,0,0 2026-05M~4,0,0,0,0 08-01~1,0,0,0,0 06-23~6,0,0,0,0 06-24~5,0,0,0,0 07-18~2,0,0,0,0 06-28~7,1,0,0,0 07-30~3,0,0,0,0 06-07~4,0,0,0,0 05-23~2,0,0,0,0 07-29~2,0,0,0,0 07-22~3,0,0,0,0 06-03~3,0,0,0,0 08-20~3,0,0,0,0 08-15~2,0,0,0,0 05-25~3,0,0,0,0 07-25~1,0,0,0,0 06-16~6,0,0,0,0 06-11~7,0,0,0,0 07-09~5,0,0,0,0 09-01~5,0,0,0,0 08-19~3,0,0,0,0 05-01~1,0,0,0,0 06-19~4,1,1,0,0 07-01~3,1,1,1,0 07-14~5,0,0,0,0 06-05~4,0,0,0,0 07-02~4,0,0,0,0 06-12~4,1,0,0,0 05-02~3,0,0,0,0 06-26~5,2,0,0,0 08-23~3,0,0,0,0 05-07~4,0,0,0,0 07-19~2,0,0,0,0 06-01~5,0,0,0,0 05-12~2,0,0,0,0 05-30~5,0,0,0,0 08-28~3,0,0,0,0 05-26~3,0,0,0,0 08-24~3,0,0,0,0 05-20~4,0,0,0,0 05-05~2,0,0,0,0 2026-07M~5,1,1,1,0 08-14~2,0,0,0,0 08-03~2,0,0,0,0 05-04~2,0,0,0,0 08-04~2,0,0,0,0 08-27~2,0,0,0,0 06-21~4,0,0,0,0 06-27~2,0,0,0,0 07-13~3,0,0,0,0 2026-07~11,3,2,1,0 08-26~3,0,0,0,0 06-20~5,0,0,0,0 07-26~3,0,0,0,0 07-31~2,0,0,0,0 06-29~5,0,0,0,0 08-17~2,0,0,0,0 se~775,925,235,9.5,2.22
Malaysia|07-31~18,1,1,1,0 06-29~21,1,0,0,0 07-12~35,3,2,0,0 08-03~18,1,0,0,0 06-13~19,2,1,0,0 08-02~17,0,0,0,0 05-01~14,0,0,0,0 05-11~15,0,0,0,0 08-09~13,4,1,0,0 07-14~26,3,1,1,1 05-28~21,0,0,0,0 06-22~26,1,1,1,0 05-24~16,1,1,1,0 08-29~20,1,0,0,0 06-04~18,0,0,0,0 08-22~21,0,0,0,0 06-26~27,2,0,0,0 08-14~6,0,0,0,0 2026-09M~39,3,1,1,0 05-14~16,0,0,0,0 08-26~21,0,0,0,0 05-18~16,0,0,0,0 08-18~23,1,0,0,0 08-01~20,0,0,0,0 05-22~20,1,1,1,0 2026-08~485,34,13,7,5 05-08~16,1,0,0,0 06-21~20,1,1,0,0 08-23~20,1,1,0,0 06-14~26,1,0,0,0 05-27~17,0,0,0,0 05-04~14,0,0,0,0 07-15~32,1,0,0,0 09-01~21,1,0,0,0 08-19~23,1,1,1,1 06-05~21,3,3,1,0 08-06~18,0,0,0,0 05-07~15,0,0,0,0 2026-07~567,52,34,15,6 07-03~19,2,2,2,2 08-10~20,0,0,0,0 06-11~24,1,0,0,0 07-09~36,11,11,0,0 07-13~26,3,1,0,0 05-29~18,1,1,0,0 07-22~24,1,1,1,0 06-18~26,2,2,1,0 08-21~21,0,0,0,0 06-16~21,1,1,0,0 05-30~15,0,0,0,0 06-24~19,0,0,0,0 06-23~21,0,0,0,0 07-05~21,2,2,1,0 07-16~40,3,1,0,0 2026-09~39,3,1,1,0 05-09~15,0,0,0,0 05-15~17,0,0,0,0 06-07~20,0,0,0,0 05-19~17,0,0,0,0 07-07~22,0,0,0,0 07-27~22,2,0,0,0 2026-06M~41,1,1,1,0 06-28~17,0,0,0,0 07-30~17,0,0,0,0 07-04~21,1,1,1,0 05-23~18,2,1,0,0 2026-08M~35,0,0,0,0 08-12~20,0,0,0,0 05-02~16,1,0,0,0 07-02~21,1,1,1,1 08-08~20,1,0,0,0 05-31~15,0,0,0,0 06-06~16,0,0,0,0 06-27~18,0,0,0,0 08-20~23,0,0,0,0 05-26~20,0,0,0,0 06-19~21,1,1,0,0 07-01~22,0,0,0,0 07-18~18,1,0,0,0 07-08~23,4,2,1,1 06-10~27,0,0,0,0 07-11~24,1,0,0,0 06-09~22,1,0,0,0 07-06~18,1,0,0,0 08-05~24,3,1,1,1 06-17~18,0,0,0,0 05-12~16,2,0,0,0 2026-05~448,13,6,4,0 05-05~17,0,0,0,0 05-13~15,1,1,1,0 08-16~22,3,2,0,0 07-20~21,2,0,0,0 07-21~27,1,0,0,0 08-11~26,2,0,0,0 05-03~18,1,0,0,0 08-27~21,1,0,0,0 06-20~25,4,2,1,0 05-06~16,0,0,0,0 2026-06~515,26,16,8,0 08-15~22,1,0,0,0 08-24~24,2,1,1,1 2026-07M~39,1,1,1,1 06-03~20,0,0,0,0 05-21~18,1,1,1,0 08-07~19,1,0,0,0 07-17~27,1,1,0,0 05-16~18,0,0,0,0 05-25~15,0,0,0,0 09-02~21,2,1,1,0 08-13~18,2,2,0,0 07-24~21,1,0,0,0 07-25~19,0,0,0,0 08-04~26,2,0,0,0 2026-05M~29,1,0,0,0 08-30~17,0,0,0,0 08-17~23,5,1,1,0 07-26~23,2,2,1,0 all~1989,124,69,34,11 08-25~22,0,0,0,0 06-02~23,1,1,1,0 05-20~19,2,0,0,0 06-15~28,3,2,1,0 05-17~14,0,0,0,0 06-12~24,0,0,0,0 07-29~33,3,2,1,0 08-31~20,2,2,1,0 05-10~17,0,0,0,0 06-08~16,0,0,0,0 07-10~28,2,1,0,0 07-23~22,0,0,0,0 06-25~23,3,1,0,0 07-28~21,0,0,0,0 06-30~21,0,0,0,0 08-28~22,2,1,1,1 07-19~28,2,2,2,0 06-01~20,0,0,0,0 sr~2091,521 se~3339,337,21,4.8,3.1
Maldives|06-28~16,7,5,4,1 07-30~6,1,1,1,0 07-13~1,0,0,0,0 08-02~3,0,0,0,0 08-03~2,0,0,0,0 2026-08M~3,0,0,0,0 05-10~1,0,0,0,0 08-08~3,2,1,1,0 07-15~4,0,0,0,0 2026-05M~1,1,0,0,0 05-25~1,0,0,0,0 08-23~1,0,0,0,0 06-27~11,5,4,3,0 08-15~2,0,0,0,0 08-27~1,0,0,0,0 09-01~2,1,1,1,0 05-09~1,0,0,0,0 2026-08~13,5,2,2,0 06-20~1,0,0,0,0 06-15~1,0,0,0,0 05-05~1,0,0,0,0 07-14~2,0,0,0,0 2026-09~4,2,1,1,0 08-18~1,0,0,0,0 06-04~1,1,0,0,0 08-07~2,0,0,0,0 07-02~2,0,0,0,0 07-08~3,2,2,2,1 07-12~1,0,0,0,0 05-28~2,0,0,0,0 07-23~3,1,1,0,0 06-19~1,0,0,0,0 07-01~3,0,0,0,0 08-20~2,0,0,0,0 all~95,43,30,22,4 06-17~1,0,0,0,0 06-25~6,2,2,1,0 06-22~1,0,0,0,0 07-04~1,0,0,0,0 07-17~1,0,0,0,0 05-14~1,0,0,0,0 07-06~1,0,0,0,0 07-26~2,0,0,0,0 07-31~1,0,0,0,0 06-29~6,2,1,0,0 07-05~2,0,0,0,0 09-02~2,1,0,0,0 08-13~2,0,0,0,0 05-03~2,0,0,0,0 07-03~1,0,0,0,0 05-30~1,0,0,0,0 06-26~10,2,2,2,0 08-21~2,1,0,0,0 2026-05~7,3,1,0,0 2026-07~35,11,9,6,1 07-19~2,1,1,0,0 06-01~1,0,0,0,0 06-11~1,1,1,1,0 07-09~4,1,0,0,0 07-10~4,2,2,1,0 07-07~2,0,0,0,0 08-04~1,0,0,0,0 05-04~1,0,0,0,0 05-12~1,0,0,0,0 08-17~2,0,0,0,0 07-21~2,0,0,0,0 07-20~2,0,0,0,0 08-10~2,0,0,0,0 2026-09M~4,2,1,1,0 05-02~1,1,0,0,0 08-26~2,0,0,0,0 05-07~1,0,0,0,0 08-14~1,0,0,0,0 08-25~1,0,0,0,0 05-20~2,1,0,0,0 08-01~2,0,0,0,0 08-06~2,0,0,0,0 07-16~1,0,0,0,0 08-12~3,0,0,0,0 2026-06~49,24,17,13,3 07-25~3,1,1,1,0 07-24~3,0,0,0,0 08-05~1,1,0,0,0 08-31~2,0,0,0,0 08-16~1,0,0,0,0 07-27~2,0,0,0,0 2026-07M~4,0,0,0,0 05-16~1,1,1,0,0 2026-06M~1,0,0,0,0 07-28~3,0,0,0,0 06-30~7,3,2,2,0 08-30~2,1,1,1,0 05-11~1,0,0,0,0 07-11~3,0,0,0,0 06-09~1,1,0,0,0 07-22~1,0,0,0,0 07-29~17,3,2,2,0 07-18~1,0,0,0,0 se~428,765,132,13.1,4.04
Mali|2026-06M~1,0,0,0,0 08-24~1,0,0,0,0 05-09~1,0,0,0,0 06-17~2,1,0,0,0 08-13~2,0,0,0,0 06-16~1,0,0,0,0 05-08~1,0,0,0,0 08-25~1,0,0,0,0 05-18~1,0,0,0,0 07-29~3,3,2,2,0 07-15~1,0,0,0,0 05-11~1,0,0,0,0 07-19~2,0,0,0,0 08-06~1,0,0,0,0 05-02~1,0,0,0,0 05-01~1,0,0,0,0 2026-09~1,0,0,0,0 05-31~1,0,0,0,0 07-26~1,0,0,0,0 06-30~1,0,0,0,0 08-03~2,1,0,0,0 06-13~1,0,0,0,0 08-20~1,0,0,0,0 06-10~1,0,0,0,0 08-23~2,1,1,1,0 06-19~2,1,0,0,0 08-09~2,0,0,0,0 05-24~1,0,0,0,0 06-28~1,1,1,1,0 07-14~1,0,0,0,0 07-18~1,0,0,0,0 2026-08M~1,0,0,0,0 07-22~1,0,0,0,0 08-28~1,0,0,0,0 08-17~1,0,0,0,0 09-01~1,0,0,0,0 2026-07~7,4,3,2,0 06-15~1,0,0,0,0 08-26~1,0,0,0,0 2026-06~10,5,3,1,0 06-26~3,1,1,0,0 2026-08~7,2,1,1,0 all~23,11,7,4,0 2026-05M~1,0,0,0,0 2026-09M~1,0,0,0,0 08-21~1,0,0,0,0 06-12~1,0,0,0,0 06-14~2,1,1,0,0 08-22~2,0,0,0,0 06-11~2,0,0,0,0 08-16~1,0,0,0,0 06-08~1,0,0,0,0 06-01~1,0,0,0,0 08-01~1,0,0,0,0 05-06~1,0,0,0,0 2026-05~3,0,0,0,0 07-21~1,0,0,0,0 07-16~1,1,1,0,0 05-17~1,0,0,0,0 05-15~1,0,0,0,0 08-08~1,0,0,0,0 05-30~1,0,0,0,0
Malta|08-17~5,2,1,1,0 all~232,75,29,17,7 2026-06~63,16,7,4,2 06-26~5,0,0,0,0 2026-09M~13,3,3,1,1 07-05~3,0,0,0,0 06-11~6,0,0,0,0 07-09~3,0,0,0,0 07-02~8,1,0,0,0 06-27~2,0,0,0,0 07-16~3,0,0,0,0 05-04~5,0,0,0,0 06-02~10,1,0,0,0 08-26~6,2,1,1,0 06-13~3,1,1,0,0 07-11~4,0,0,0,0 06-09~4,1,0,0,0 08-14~4,3,0,0,0 08-11~6,1,0,0,0 05-22~8,0,0,0,0 2026-08~68,28,12,8,1 08-03~7,2,1,0,0 08-18~10,3,2,1,0 08-28~8,0,0,0,0 07-14~4,0,0,0,0 08-12~4,1,0,0,0 07-26~3,1,0,0,0 07-03~6,1,1,1,1 06-04~4,0,0,0,0 08-29~4,0,0,0,0 08-08~4,1,1,1,0 2026-08M~7,1,0,0,0 05-07~9,1,0,0,0 07-06~4,1,0,0,0 07-08~3,0,0,0,0 06-10~6,1,0,0,0 07-19~1,0,0,0,0 06-01~5,2,0,0,0 08-23~3,0,0,0,0 07-23~6,1,0,0,0 06-22~5,1,1,0,0 08-09~1,0,0,0,0 2026-09~13,3,3,1,1 05-23~2,0,0,0,0 06-21~5,0,0,0,0 06-28~3,1,1,1,0 07-30~9,2,1,0,0 2026-07~72,17,3,1,1 07-17~8,0,0,0,0 08-01~5,1,0,0,0 05-15~7,0,0,0,0 05-30~4,0,0,0,0 2026-07M~9,1,0,0,0 06-16~5,0,0,0,0 07-25~4,0,0,0,0 09-01~9,2,2,1,1 08-19~3,0,0,0,0 05-02~3,0,0,0,0 07-13~5,0,0,0,0 07-15~5,2,1,0,0 05-05~5,1,0,0,0 06-19~3,1,1,0,0 07-01~3,0,0,0,0 05-28~5,0,0,0,0 05-21~7,2,2,2,1 07-27~2,0,0,0,0 09-02~6,1,1,0,0 05-19~7,0,0,0,0 05-12~6,3,0,0,0 05-11~5,2,0,0,0 06-05~7,1,0,0,0 07-04~6,1,0,0,0 06-15~6,0,0,0,0 08-20~2,0,0,0,0 06-24~3,1,0,0,0 08-21~5,0,0,0,0 06-08~4,0,0,0,0 07-10~2,0,0,0,0 06-17~6,1,0,0,0 2026-06M~13,3,0,0,0 05-20~4,0,0,0,0 06-18~5,1,0,0,0 05-01~4,0,0,0,0 08-04~6,1,0,0,0 07-18~2,0,0,0,0 08-05~3,1,0,0,0 08-07~5,0,0,0,0 08-27~5,0,0,0,0 05-26~5,0,0,0,0 2026-05~69,16,4,3,2 08-24~4,0,0,0,0 08-25~2,0,0,0,0 05-31~4,0,0,0,0 05-09~3,0,0,0,0 06-23~3,1,0,0,0 08-02~4,0,0,0,0 08-13~4,0,0,0,0 06-25~5,1,0,0,0 05-06~6,0,0,0,0 06-20~2,0,0,0,0 05-10~5,2,0,0,0 2026-05M~5,0,0,0,0 05-25~4,0,0,0,0 06-07~5,1,1,0,0 06-12~5,0,0,0,0 08-15~3,0,0,0,0 06-14~4,1,1,1,1 07-21~4,1,0,0,0 05-29~7,1,0,0,0 08-31~8,3,1,1,0 07-28~4,2,0,0,0 06-30~5,0,0,0,0 06-03~4,0,0,0,0 07-31~4,1,0,0,0 06-29~6,1,1,1,1 08-06~5,1,1,1,0 05-08~6,1,0,0,0 05-13~7,1,0,0,0 08-22~5,3,1,0,0 05-18~8,2,2,1,0 08-16~4,1,1,0,0 05-14~8,3,0,0,0 08-10~8,4,3,1,0 05-24~4,0,0,0,0 06-06~5,0,0,0,0 08-30~4,0,0,0,0 07-29~2,0,0,0,0 07-24~8,2,0,0,0 07-20~3,1,0,0,0 05-17~2,0,0,0,0 07-22~7,2,0,0,0 07-12~5,2,0,0,0 07-07~3,0,0,0,0 05-03~4,0,0,0,0 05-16~3,0,0,0,0 05-27~3,0,0,0,0 se~1173,1543,79,13.6,26.68
Martinique|2026-06~4,2,2,2,1 08-23~1,0,0,0,0 07-02~1,0,0,0,0 2026-07~2,0,0,0,0 06-18~3,1,1,1,0 08-20~1,0,0,0,0 08-12~1,0,0,0,0 07-12~1,0,0,0,0 2026-05~1,1,0,0,0 06-17~1,0,0,0,0 07-09~1,0,0,0,0 08-27~1,1,0,0,0 07-11~1,0,0,0,0 06-19~2,0,0,0,0 08-19~1,0,0,0,0 06-29~1,0,0,0,0 2026-08~7,1,0,0,0 08-16~1,0,0,0,0 08-11~1,0,0,0,0 05-03~1,1,0,0,0 06-16~1,1,1,1,1 07-10~1,0,0,0,0 all~13,4,2,2,1 2026-07M~1,0,0,0,0 06-23~1,0,0,0,0 06-30~1,0,0,0,0
Mauritania|all~7,4,4,1,1 2026-07~2,1,1,0,0 08-12~1,1,1,1,1 07-29~1,0,0,0,0 08-23~1,1,1,0,0 08-17~1,1,1,0,0 07-13~1,1,1,0,0 08-19~2,0,0,0,0 2026-08~5,3,3,1,1
Mauritius|06-30~2,0,0,0,0 2026-08~10,2,0,0,0 05-29~2,1,0,0,0 08-18~1,0,0,0,0 07-29~3,0,0,0,0 08-25~1,0,0,0,0 2026-07~7,2,0,0,0 05-24~1,0,0,0,0 08-01~1,1,0,0,0 06-29~1,1,0,0,0 07-20~1,0,0,0,0 07-24~1,1,0,0,0 06-18~1,0,0,0,0 07-23~1,1,0,0,0 2026-05~4,1,0,0,0 08-23~1,0,0,0,0 05-28~1,0,0,0,0 06-28~1,0,0,0,0 06-23~1,0,0,0,0 08-13~1,1,0,0,0 07-22~1,0,0,0,0 all~29,8,0,0,0 07-16~1,0,0,0,0 08-15~1,0,0,0,0 06-27~1,1,0,0,0 2026-06~9,3,0,0,0 06-19~2,0,0,0,0 2026-08M~1,1,0,0,0 06-11~1,0,0,0,0 06-06~1,1,0,0,0 08-19~1,1,0,0,0 05-25~1,0,0,0,0 08-28~1,0,0,0,0 08-05~3,0,0,0,0
Mayotte|08-10~1,1,0,0,0 2026-08~1,1,0,0,0 07-29~1,0,0,0,0 2026-07~1,0,0,0,0 all~2,1,0,0,0
