btag|paths|landing|packed
105400053_493018|5|00000001:/de/promotions/monthly-bonus 00000001:/ja/promotions/monthly-bonus 00000001:/pt/promotions/monthly-bonus 00000002:/es/promotions/monthly-bonus 00000037:/promotions/monthly-bonus|05-19~2,2,1,0,0 05-14~2,0,0,0,0 05-24~1,0,0,0,0 05-23~1,0,0,0,0 05-04~14,2,0,0,0 05-15~1,0,0,0,0 05-25~1,0,0,0,0 05-22~2,2,1,1,0 05-06~4,1,0,0,0 05-07~5,3,0,0,0 05-17~1,0,0,0,0 05-05~16,3,0,0,0 all~42,14,4,2,1
105400053_493616|11|00000017:/tr/crypto-casino 00000018:/no/crypto-casino 00000025:/ja/crypto-casino 00000028:/fr/crypto-casino 00000029:/pt/crypto-casino 00000045:/de/crypto-casino 00000064:/es/crypto-casino 00001441:/crypto-casino|07-22~23,8,4,0,0 05-16~22,13,5,2,0 08-11~7,1,0,0,0 06-24~23,10,4,3,1 08-06~61,26,10,4,0 06-03~15,4,0,0,0 08-13~50,25,9,1,0 08-12~40,21,7,1,0 06-02~30,15,9,4,1 06-11~10,2,0,0,0 08-18~8,3,0,0,0 06-26~27,15,8,3,2 07-02~47,29,15,6,1 07-12~12,5,3,0,0 06-04~9,2,0,0,0 06-14~18,5,3,1,0 06-19~75,38,23,10,0 08-27~9,2,2,1,0 07-26~23,11,3,0,0 07-19~34,19,6,1,1 06-08~25,10,6,1,0 05-21~48,28,14,1,0 06-25~54,33,14,5,1 08-14~48,20,8,2,0 07-05~23,5,2,1,0 06-15~21,6,2,0,0 08-24~13,3,0,0,0 07-13~65,31,20,3,0 05-15~11,3,0,0,0 06-05~28,13,9,0,0 08-10~12,5,2,1,0 07-29~7,2,1,1,0 07-10~55,31,15,3,0 07-11~16,5,3,0,0 05-09~7,1,0,0,0 07-07~7,2,1,1,0 07-06~15,6,4,1,0 05-18~10,4,2,2,1 05-29~21,9,7,4,0 06-22~38,14,8,1,0 08-22~5,1,0,0,0 07-16~34,9,6,1,0 08-03~17,7,3,2,0 07-17~28,9,6,2,0 07-31~7,4,1,0,0 07-25~14,3,3,2,0 06-16~47,16,10,0,0 08-28~5,1,1,1,0 05-17~9,4,3,1,0 05-26~6,3,2,1,0 08-02~14,7,3,0,0 05-31~8,2,2,1,0 07-14~79,33,13,2,1 07-04~19,5,4,1,0 07-20~19,5,2,0,0 06-07~19,7,2,1,0 06-23~28,7,4,2,0 06-12~46,12,5,2,0 07-03~33,16,12,5,0 08-01~11,2,0,0,0 05-08~14,6,0,0,0 05-20~11,4,2,2,0 05-12~1,0,0,0,0 05-22~28,17,8,1,0 07-21~33,18,6,2,0 08-15~22,9,5,1,0 05-25~40,16,11,5,1 08-04~18,9,6,3,1 08-25~13,5,2,2,0 08-05~18,7,2,2,0 06-09~22,8,6,1,0 05-13~13,3,1,0,0 07-08~47,27,15,3,0 06-27~24,10,4,2,0 08-19~23,11,4,2,0 07-15~36,14,4,2,0 08-07~36,17,10,0,0 08-20~25,7,2,0,0 05-24~7,4,0,0,0 05-19~9,3,1,0,0 07-18~16,6,2,1,0 06-10~26,14,6,2,0 08-08~10,2,2,1,1 05-28~24,7,4,2,0 08-17~16,5,4,3,0 06-29~69,30,9,0,0 06-06~30,16,11,0,0 08-23~6,1,0,0,0 07-28~10,2,0,0,0 05-10~3,0,0,0,0 08-26~11,5,2,1,0 06-18~27,10,6,3,0 07-09~36,18,11,5,1 08-09~4,1,0,0,0 07-27~10,3,3,0,0 05-11~4,1,0,0,0 06-20~59,33,23,6,1 08-29~5,1,0,0,0 06-17~20,7,2,0,0 07-30~15,9,7,2,0 06-30~37,22,15,2,0 05-14~12,3,2,2,1 06-01~42,22,9,1,0 06-13~15,5,4,2,0 06-28~15,6,1,0,0 08-16~19,11,6,2,0 07-01~51,27,10,1,0 05-30~13,3,1,0,0 05-07~20,9,0,0,0 08-21~19,6,3,1,0 05-23~24,7,3,1,0 06-21~20,7,3,1,0 05-27~21,9,7,3,0 07-23~10,4,1,0,0 07-24~19,8,4,2,0 all~1685,1042,567,243,41
105400053_493621|7|00000001:/fr/crypto-casino 00000001:/hi/crypto-casino 00000001:/ja/crypto-casino 00000002:/pt/crypto-casino 00000003:/tr/crypto-casino 00000010:/de/crypto-casino 00000034:/crypto-casino|07-07~1,0,0,0,0 07-22~1,0,0,0,0 07-10~2,0,0,0,0 06-11~2,2,1,1,1 06-25~1,0,0,0,0 08-19~3,1,0,0,0 07-02~1,0,0,0,0 05-14~1,0,0,0,0 08-13~1,0,0,0,0 05-16~1,1,0,0,0 06-06~1,1,1,1,0 07-06~3,2,0,0,0 06-02~1,1,1,1,0 08-06~1,0,0,0,0 08-23~1,0,0,0,0 08-07~1,0,0,0,0 07-23~3,1,0,0,0 05-22~1,1,0,0,0 08-10~1,0,0,0,0 07-15~1,0,0,0,0 08-01~1,0,0,0,0 08-27~3,1,0,0,0 06-19~3,1,1,1,0 05-17~3,1,0,0,0 05-07~3,2,0,0,0 08-02~2,0,0,0,0 07-19~3,2,0,0,0 06-08~1,0,0,0,0 07-26~1,0,0,0,0 06-26~1,0,0,0,0 08-18~1,0,0,0,0 08-29~1,0,0,0,0 06-05~2,2,1,0,0 05-21~1,0,0,0,0 05-28~1,1,0,0,0 06-09~2,1,1,1,0 07-03~1,0,0,0,0 06-13~1,0,0,0,0 07-21~2,0,0,0,0 08-25~5,0,0,0,0 06-20~1,0,0,0,0 07-16~1,0,0,0,0 08-24~3,0,0,0,0 07-11~2,0,0,0,0 06-10~2,0,0,0,0 06-30~2,0,0,0,0 05-11~1,1,0,0,0 05-08~1,0,0,0,0 07-28~1,0,0,0,0 07-30~1,0,0,0,0 06-21~2,0,0,0,0 05-13~1,1,0,0,0 07-08~1,0,0,0,0 06-18~2,0,0,0,0 08-26~1,0,0,0,0 05-19~1,1,0,0,0 07-29~2,0,0,0,0 05-09~1,0,0,0,0 06-03~1,0,0,0,0 06-29~2,0,0,0,0 08-28~1,0,0,0,0 06-22~2,0,0,0,0 07-09~2,0,0,0,0 all~52,28,11,8,3
105400053_494488|7|00000001:/de/game/hacksawgaming-f.le_digger 00000001:/es/game/hacksawgaming-f.le_digger 00000001:/fr/game/hacksawgaming-f.le_digger 00000001:/pt/game/hacksawgaming-f.le_digger 00000001:/tr/game/hacksawgaming-f.le_digger 00000002:/ja/game/hacksawgaming-f.le_digger 00000016:/game/hacksawgaming-f.le_digger|05-13~22,9,7,2,1 05-14~2,0,0,0,0 05-15~5,0,0,0,0 05-17~2,0,0,0,0 05-19~2,0,0,0,0 05-16~1,0,0,0,0 06-01~1,0,0,0,0 all~23,9,7,5,2
105400053_494605|3|00000001:/fr/tournaments/crash-race 00000001:/ja/tournaments/crash-race 00000028:/tournaments/crash-race|05-20~1,0,0,0,0 05-14~36,7,6,4,0 06-18~1,0,0,0,0 all~30,10,8,8,2 05-15~7,1,1,1,0 05-16~3,0,0,0,0
105400053_494716|1|00000035:/special-bonus/up-to-200|05-14~3,3,1,0,0 05-16~12,11,4,2,2 05-17~2,2,1,0,0 06-02~3,2,1,0,0 05-15~3,3,0,0,0 05-19~6,6,3,1,0 05-18~1,0,0,0,0 05-29~3,2,1,1,0 06-07~3,3,1,0,0 06-10~1,1,1,0,0 05-23~2,2,1,0,0 06-08~2,2,1,0,0 all~35,34,17,9,4
105400053_495159|4|00000001:/ja/tournaments/crash-race 00000002:/es/tournaments/crash-race 00000002:/fr/tournaments/crash-race 00000021:/tournaments/crash-race|05-24~3,0,0,0,0 05-18~29,5,4,2,0 05-25~1,1,1,1,0 05-22~2,0,0,0,0 05-21~11,2,1,0,0 05-23~2,0,0,0,0 06-11~1,1,1,0,0 05-19~2,1,1,0,0 all~26,10,8,5,2
105400053_495906|4|00000001:/tr/blog 00000002:/ja/blog 00000003:/de/blog 00000038:/blog|05-23~15,1,1,0,0 05-31~1,0,0,0,0 05-22~49,5,5,0,0 05-24~13,1,0,0,0 05-28~1,0,0,0,0 05-30~1,0,0,0,0 05-26~4,0,0,0,0 05-27~2,0,0,0,0 05-25~2,0,0,0,0 all~44,9,7,4,1
105400053_496443|9|00000001:/it/world-cup-2026 00000002:/pt/world-cup-2026 00000003:/ja/world-cup-2026 00000004:/no/world-cup-2026 00000004:/tr/world-cup-2026 00000005:/es/world-cup-2026 00000011:/de/world-cup-2026 00000108:/world-cup-2026|07-17~1,0,0,0,0 08-24~1,1,1,0,0 06-03~35,1,1,0,0 05-27~127,5,3,1,0 06-30~1,0,0,0,0 07-20~1,0,0,0,0 07-13~2,1,0,0,0 06-19~2,0,0,0,0 07-11~1,0,0,0,0 06-16~2,0,0,0,0 07-18~1,0,0,0,0 06-23~1,0,0,0,0 06-05~7,0,0,0,0 06-06~6,0,0,0,0 06-15~2,0,0,0,0 07-10~1,0,0,0,0 06-09~15,5,5,0,0 06-02~2,0,0,0,0 06-11~5,0,0,0,0 07-05~1,0,0,0,0 07-15~1,0,0,0,0 05-28~30,4,2,1,0 06-29~1,0,0,0,0 06-25~1,0,0,0,0 06-13~2,0,0,0,0 07-22~1,0,0,0,0 06-22~2,0,0,0,0 06-27~1,0,0,0,0 06-04~12,0,0,0,0 06-14~1,0,0,0,0 06-21~2,0,0,0,0 06-10~15,2,2,0,0 06-01~5,0,0,0,0 07-07~2,0,0,0,0 06-20~2,0,0,0,0 05-31~5,0,0,0,0 07-12~2,0,0,0,0 07-16~1,0,0,0,0 07-02~1,0,0,0,0 06-07~10,4,4,3,0 07-21~2,0,0,0,0 05-29~12,3,2,0,0 06-12~1,0,0,0,0 07-06~1,0,0,0,0 07-14~1,0,0,0,0 07-01~1,0,0,0,0 06-24~1,0,0,0,0 07-23~2,0,0,0,0 06-28~1,0,0,0,0 05-30~7,1,1,0,0 07-08~1,0,0,0,0 07-04~1,0,0,0,0 07-09~2,0,0,0,0 07-19~2,0,0,0,0 06-08~29,5,4,1,0 06-18~1,0,0,0,0 all~139,37,27,14,4
105400053_496526|5|00000002:/tr/blog 00000004:/es/blog 00000004:/pt/blog 00000005:/de/blog 00000068:/blog|06-04~4,0,0,0,0 05-27~49,3,2,0,0 05-29~6,0,0,0,0 06-08~2,0,0,0,0 05-30~5,0,0,0,0 06-03~3,0,0,0,0 06-06~2,0,0,0,0 05-28~40,1,0,0,0 05-31~4,0,0,0,0 06-01~63,3,3,2,0 06-09~1,1,0,0,0 07-07~1,0,0,0,0 06-05~3,0,0,0,0 06-02~8,1,0,0,0 all~83,15,7,4,2
105400053_496727|6|00000001:/fr/world-cup-2026 00000001:/pt/world-cup-2026 00000002:/de/world-cup-2026 00000002:/es/world-cup-2026 00000002:/ja/world-cup-2026 00000044:/world-cup-2026|07-02~1,0,0,0,0 08-07~1,0,0,0,0 06-22~1,0,0,0,0 07-01~1,0,0,0,0 07-22~1,0,0,0,0 06-21~1,0,0,0,0 07-28~1,0,0,0,0 07-15~1,1,1,0,0 07-11~2,0,0,0,0 07-17~1,0,0,0,0 06-19~5,2,2,1,1 07-07~1,1,1,0,0 05-31~1,0,0,0,0 06-29~2,0,0,0,0 06-04~1,1,1,0,0 07-04~1,0,0,0,0 07-21~1,0,0,0,0 07-16~1,0,0,0,0 05-29~6,2,2,0,0 06-01~3,0,0,0,0 06-20~3,1,1,1,0 07-08~4,2,2,0,0 06-05~1,0,0,0,0 07-09~2,0,0,0,0 06-02~2,0,0,0,0 08-03~1,1,0,0,0 07-20~2,0,0,0,0 07-25~1,0,0,0,0 07-14~1,0,0,0,0 05-30~2,1,0,0,0 08-04~1,0,0,0,0 06-28~2,0,0,0,0 07-05~2,1,1,1,0 all~52,17,14,4,1
105400053_496850|9|00000001:/no/world-cup-2026 00000002:/pt/world-cup-2026 00000002:/tr/world-cup-2026 00000007:/fr/world-cup-2026 00000008:/ja/world-cup-2026 00000009:/de/world-cup-2026 00000011:/es/world-cup-2026 00000214:/world-cup-2026|07-12~1,0,0,0,0 06-14~5,0,0,0,0 06-02~26,7,5,2,0 06-08~18,0,0,0,0 07-09~2,0,0,0,0 06-21~1,0,0,0,0 06-16~7,1,0,0,0 06-29~2,1,0,0,0 07-16~1,0,0,0,0 06-15~8,1,1,0,0 07-04~1,0,0,0,0 06-25~1,1,1,1,0 07-05~1,0,0,0,0 06-12~15,1,1,0,0 06-04~19,4,3,0,0 07-01~2,0,0,0,0 06-26~1,0,0,0,0 06-03~19,3,3,1,0 06-01~46,4,2,1,0 07-10~2,0,0,0,0 06-13~7,0,0,0,0 06-22~2,1,0,0,0 07-06~1,0,0,0,0 07-03~3,0,0,0,0 08-29~1,0,0,0,0 06-17~6,1,1,0,0 07-02~1,0,0,0,0 06-05~31,1,1,0,0 06-09~58,3,2,0,0 07-08~2,1,1,0,0 05-29~16,0,0,0,0 06-20~8,4,3,1,0 06-06~27,4,2,2,0 05-30~2,0,0,0,0 06-19~7,2,1,1,0 06-07~18,5,3,0,0 07-17~3,0,0,0,0 06-10~185,41,35,21,1 06-18~7,3,1,1,1 06-11~22,2,1,0,0 07-14~1,1,0,0,0 all~255,94,72,43,7
105400053_497199|9|00000001:/hi/crypto-casino 00000001:/it/crypto-casino 00000001:/ja/crypto-casino 00000001:/no/crypto-casino 00000001:/pt/crypto-casino 00000003:/es/crypto-casino 00000005:/de/crypto-casino 00000058:/crypto-casino|08-08~2,0,0,0,0 08-26~3,1,0,0,0 06-18~3,1,0,0,0 06-27~1,0,0,0,0 08-19~9,2,0,0,0 07-15~1,0,0,0,0 07-30~2,2,0,0,0 07-08~2,0,0,0,0 07-17~2,0,0,0,0 07-16~1,0,0,0,0 08-09~7,0,0,0,0 08-06~1,0,0,0,0 06-28~1,0,0,0,0 08-16~1,0,0,0,0 07-23~2,1,0,0,0 08-22~1,0,0,0,0 06-23~6,0,0,0,0 08-01~2,0,0,0,0 07-20~2,0,0,0,0 06-29~3,1,0,0,0 06-14~1,0,0,0,0 06-13~1,0,0,0,0 06-10~2,0,0,0,0 08-14~2,0,0,0,0 08-15~3,0,0,0,0 08-03~3,1,0,0,0 07-31~2,0,0,0,0 08-02~12,2,1,0,0 06-16~1,0,0,0,0 08-12~1,0,0,0,0 07-07~4,0,0,0,0 08-18~1,0,0,0,0 06-26~4,0,0,0,0 08-13~1,0,0,0,0 08-21~2,0,0,0,0 07-09~2,0,0,0,0 08-10~4,0,0,0,0 08-24~1,0,0,0,0 07-28~3,1,0,0,0 08-07~2,0,0,0,0 07-05~3,0,0,0,0 06-05~1,1,0,0,0 06-20~15,0,0,0,0 08-29~1,0,0,0,0 06-17~4,1,0,0,0 08-25~6,0,0,0,0 07-21~1,0,0,0,0 07-01~3,0,0,0,0 06-09~3,1,0,0,0 07-04~2,0,0,0,0 06-02~1,1,1,0,0 06-07~2,1,1,0,0 06-22~11,4,1,1,0 07-13~2,0,0,0,0 06-25~3,0,0,0,0 07-22~2,0,0,0,0 08-23~2,1,0,0,0 06-21~13,0,0,0,0 06-24~3,0,0,0,0 08-04~1,0,0,0,0 06-15~4,0,0,0,0 06-11~1,0,0,0,0 07-29~2,0,0,0,0 07-12~3,0,0,0,0 08-05~3,1,0,0,0 07-25~1,0,0,0,0 06-30~3,1,0,0,0 06-19~33,4,1,0,0 08-27~2,1,0,0,0 08-20~3,0,0,0,0 all~72,23,9,4,1
105400053_497203|4|00000001:/es/crypto-casino 00000001:/fr/crypto-casino 00000002:/de/crypto-casino 00000038:/crypto-casino|06-15~1,0,0,0,0 08-28~1,0,0,0,0 08-27~2,1,1,0,0 06-19~2,2,1,1,0 07-02~1,1,0,0,0 08-04~1,1,0,0,0 06-09~2,1,1,1,0 08-24~1,0,0,0,0 08-20~9,7,4,0,0 06-11~1,1,1,1,0 08-22~1,0,0,0,0 08-13~1,1,1,0,0 06-28~2,1,0,0,0 08-25~3,0,0,0,0 06-02~1,1,1,0,0 08-21~8,5,3,2,0 06-05~2,1,0,0,0 08-02~1,1,1,0,0 06-04~1,0,0,0,0 06-20~2,0,0,0,0 08-23~1,0,0,0,0 06-18~1,0,0,0,0 08-26~2,1,1,0,0 07-30~2,1,0,0,0 07-31~1,0,0,0,0 07-11~1,0,0,0,0 06-10~3,2,2,0,0 08-19~5,5,2,0,0 06-27~1,0,0,0,0 07-06~1,1,1,0,0 06-13~2,1,0,0,0 08-29~2,1,0,0,0 all~42,33,20,7,0
105400053_497222|4|00000001:/es/crypto-casino 00000001:/no/crypto-casino 00000002:/de/crypto-casino 00000016:/crypto-casino|06-04~3,1,1,1,0 06-07~1,0,0,0,0 06-08~1,1,0,0,0 06-05~5,1,0,0,0 06-02~18,5,3,1,0 06-03~1,0,0,0,0 06-06~4,4,3,0,0 all~20,10,7,3,0
105400053_498263|1|00000014:/crypto-casino|06-19~1,0,0,0,0 06-22~2,1,1,1,0 06-18~2,1,1,1,0 06-15~9,6,2,1,0 06-09~2,2,1,0,0 all~14,10,5,3,0
105400053_498391|5|00000001:/no/world-cup-2026 00000002:/es/world-cup-2026 00000002:/tr/world-cup-2026 00000003:/de/world-cup-2026 00000026:/world-cup-2026|07-13~1,0,0,0,0 06-27~1,0,0,0,0 06-26~3,0,0,0,0 06-20~1,0,0,0,0 06-21~2,0,0,0,0 06-10~10,1,1,1,1 06-19~7,0,0,0,0 06-17~10,1,1,1,0 06-18~3,0,0,0,0 06-15~11,0,0,0,0 06-23~3,0,0,0,0 07-05~2,0,0,0,0 06-11~9,0,0,0,0 06-12~3,0,0,0,0 06-22~3,1,0,0,0 06-24~8,0,0,0,0 06-13~8,0,0,0,0 06-14~4,0,0,0,0 06-28~1,0,0,0,0 06-25~10,0,0,0,0 all~34,6,4,4,2
105400053_498621|2|00000001:/es/crypto-sportsbook 00000004:/crypto-sportsbook|06-16~3,0,0,0,0 06-15~3,1,1,0,0 06-12~2,2,2,1,0 all~5,4,4,2,1
105400053_499045|4|00000001:/de/blog 00000001:/hi/blog 00000001:/pt/blog 00000016:/blog|06-15~24,5,4,3,0 06-16~3,1,1,1,0 06-24~1,0,0,0,0 all~19,7,7,6,0
105400053_499780|1|00000014:/crypto-casino|08-24~1,1,1,1,0 08-06~1,0,0,0,0 06-25~2,1,0,0,0 06-19~5,4,2,0,0 07-08~1,0,0,0,0 07-26~2,1,0,0,0 07-07~1,0,0,0,0 07-17~1,0,0,0,0 06-23~2,1,0,0,0 08-23~6,2,0,0,0 all~14,9,3,2,0
105400053_499794|9|00000003:/no/crypto-casino 00000003:/pt/crypto-casino 00000004:/tr/crypto-casino 00000010:/fr/crypto-casino 00000010:/ja/crypto-casino 00000018:/de/crypto-casino 00000036:/es/crypto-casino 00000367:/crypto-casino|07-06~2,1,0,0,0 06-25~10,7,7,1,0 07-20~3,2,2,2,0 08-13~1,1,1,0,0 08-08~1,0,0,0,0 07-04~1,0,0,0,0 06-26~4,3,3,2,0 07-11~1,0,0,0,0 07-26~1,0,0,0,0 06-19~307,168,123,46,0 08-17~1,0,0,0,0 07-25~1,1,0,0,0 07-31~1,0,0,0,0 06-24~4,2,1,0,0 07-03~3,1,1,0,0 08-05~1,0,0,0,0 06-21~15,8,6,2,0 08-03~2,1,0,0,0 08-23~2,1,1,0,0 06-20~169,104,75,29,1 07-16~1,0,0,0,0 07-07~2,1,1,0,0 07-13~2,1,0,0,0 06-23~4,1,1,0,0 07-24~4,2,0,0,0 06-22~8,6,4,2,0 07-08~1,1,1,0,0 07-23~4,2,2,1,0 07-22~2,1,1,0,0 08-06~1,1,1,0,0 06-27~6,3,3,1,0 07-15~1,1,1,0,0 07-27~1,1,1,0,0 all~453,308,237,98,4
105400053_500017|2|00000001:/es/crypto-casino 00000055:/crypto-casino|06-22~5,2,1,0,0 08-23~3,1,1,0,0 07-24~3,2,2,1,1 07-03~30,16,5,0,0 07-02~1,0,0,0,0 07-04~3,2,1,0,0 07-25~1,1,1,0,0 06-29~9,1,0,0,0 07-22~2,1,1,0,0 08-24~2,1,1,1,0 08-08~1,1,0,0,0 07-09~1,1,1,1,0 07-18~3,1,1,1,1 06-30~1,0,0,0,0 07-01~2,0,0,0,0 07-21~1,1,0,0,0 06-24~1,1,1,1,0 all~56,31,18,6,2
105400053_500027|1|00000006:/crypto-sportsbook|06-26~1,1,1,1,0 06-24~5,2,2,1,0 06-23~3,0,0,0,0 all~6,3,3,2,0
105400053_500301|1|00000006:/bonuses|06-30~1,0,0,0,0 07-13~1,0,0,0,0 06-24~11,2,2,1,0 06-25~4,1,1,0,0 all~6,4,4,3,0
105400053_500317|4|00000001:/no/crypto-casino 00000002:/fr/crypto-casino 00000003:/es/crypto-casino 00000284:/crypto-casino|08-13~12,5,1,0,0 07-20~35,27,14,5,3 08-06~16,11,7,4,0 08-08~17,8,3,1,0 07-22~10,7,3,1,0 07-23~26,19,15,4,0 07-29~11,8,3,1,0 08-23~1,1,0,0,0 07-16~3,1,0,0,0 06-29~1,0,0,0,0 08-17~1,0,0,0,0 08-28~8,6,6,1,0 07-25~21,13,5,1,0 08-05~8,6,5,0,0 07-15~6,3,1,0,0 07-21~27,13,6,0,0 06-26~23,17,9,4,0 08-18~1,1,1,1,0 08-21~2,1,1,0,0 08-04~18,10,5,2,0 08-20~1,0,0,0,0 07-13~13,12,3,0,0 08-27~4,2,2,0,0 08-26~11,5,2,0,0 08-14~1,1,1,0,0 07-19~1,1,0,0,0 08-25~5,2,1,0,0 08-11~2,0,0,0,0 07-30~6,3,1,0,0 08-07~19,10,5,3,1 08-10~2,2,1,0,0 07-24~8,3,3,1,0 07-14~1,1,0,0,0 08-02~1,0,0,0,0 07-31~8,5,3,1,0 07-28~6,1,0,0,0 08-03~31,22,12,2,0 08-24~5,5,2,1,0 08-09~5,3,3,1,0 08-29~1,0,0,0,0 07-26~3,2,0,0,0 08-19~4,1,0,0,0 06-27~11,4,2,0,0 08-16~1,0,0,0,0 06-28~1,0,0,0,0 08-01~8,2,0,0,0 06-24~3,3,1,0,0 08-12~5,1,0,0,0 08-15~2,0,0,0,0 all~290,201,117,56,10
105400053_500442|6|00000001:/no/crypto-casino 00000001:/pt/crypto-casino 00000002:/fr/crypto-casino 00000002:/ja/crypto-casino 00000003:/de/crypto-casino 00000103:/crypto-casino|07-04~1,0,0,0,0 06-26~37,22,15,2,0 06-27~25,17,10,1,0 07-03~1,1,1,0,0 06-25~90,56,26,1,0 all~112,88,52,7,0
105400053_500450|1|00000017:/crypto-casino|07-06~1,1,0,0,0 06-25~1,1,1,0,0 07-01~2,1,1,0,0 06-29~1,1,1,1,0 07-02~1,1,0,0,0 06-30~15,10,4,0,0 all~17,14,6,2,0
105400053_500667|1|00000019:/crypto-casino|06-27~4,3,1,0,0 07-22~1,0,0,0,0 07-01~4,1,0,0,0 07-15~10,3,2,0,0 07-16~1,0,0,0,0 all~19,8,5,1,0
105400053_500786|3|00000001:/pt/blog 00000002:/de/blog 00000033:/blog|07-06~2,0,0,0,0 07-03~3,1,0,0,0 07-02~2,0,0,0,0 08-18~1,0,0,0,0 07-01~3,0,0,0,0 07-10~1,0,0,0,0 07-05~2,1,1,0,0 07-09~1,0,0,0,0 07-11~2,0,0,0,0 08-01~2,0,0,0,0 06-30~25,1,1,1,1 08-02~1,0,0,0,0 06-29~35,2,1,1,0 07-08~1,1,0,0,0 all~36,6,3,3,0
105400053_500818|4|00000001:/ja/crypto-casino 00000002:/de/crypto-casino 00000004:/es/crypto-casino 00000071:/crypto-casino|07-06~1,0,0,0,0 07-13~1,0,0,0,0 06-30~6,2,1,0,0 07-02~29,18,7,3,0 06-29~6,5,0,0,0 08-12~1,0,0,0,0 07-11~3,3,1,0,0 07-08~14,8,4,1,0 07-01~21,13,3,0,0 07-04~5,2,1,0,0 08-14~1,0,0,0,0 08-13~1,0,0,0,0 08-23~1,0,0,0,0 07-03~7,5,1,0,0 07-07~1,1,1,0,0 all~78,52,18,5,1
105400053_501391|4|00000001:/ja/blog 00000001:/pt/blog 00000002:/es/blog 00000005:/blog|07-06~22,3,1,1,0 07-07~8,0,0,0,0 07-09~2,2,1,0,0 07-08~2,0,0,0,0 all~9,4,3,3,0
105400053_502263|3|00000001:/de/crypto-casino 00000001:/es/crypto-casino 00000043:/crypto-casino|all~45,25,14,3,0 07-15~14,6,3,0,0 07-13~28,14,3,1,0 07-16~8,5,4,0,0 07-14~14,4,2,1,0 07-17~3,2,1,0,0
105400053_502463|3|00000002:/de/150-BONUS-UP-TO-2000-EUR-50-Free-Spins 00000004:/fr/150-BONUS-UP-TO-2000-EUR-50-Free-Spins 00000145:/150-BONUS-UP-TO-2000-EUR-50-Free-Spins|08-05~1,0,0,0,0 07-30~8,7,1,0,0 08-28~1,0,0,0,0 07-16~7,7,3,0,0 07-15~7,6,3,0,0 08-19~1,0,0,0,0 08-02~21,20,12,3,0 07-31~50,44,24,4,0 07-21~12,11,4,3,0 08-27~1,0,0,0,0 07-24~15,13,5,5,0 08-01~12,10,5,1,0 07-14~3,3,1,0,0 07-26~5,3,2,1,0 07-23~4,2,1,1,0 07-27~9,6,4,1,0 07-20~49,42,16,11,0 08-24~1,0,0,0,0 07-22~8,6,3,2,0 07-29~2,1,0,0,0 07-25~13,7,3,1,0 07-28~2,1,0,0,0 08-13~2,2,0,0,0 08-03~4,4,2,0,0 07-17~2,2,1,0,0 all~151,138,77,41,6
105400053_502806|9|00000001:/tr/crypto-casino 00000002:/ja/crypto-casino 00000003:/it/crypto-casino 00000003:/no/crypto-casino 00000005:/fr/crypto-casino 00000006:/es/crypto-casino 00000016:/de/crypto-casino 00000171:/crypto-casino|07-16~128,58,30,9,0 07-18~12,5,3,1,0 07-23~2,0,0,0,0 08-06~2,0,0,0,0 07-24~3,2,2,0,0 08-05~1,0,0,0,0 07-31~1,0,0,0,0 07-30~1,0,0,0,0 07-26~2,0,0,0,0 07-27~1,0,0,0,0 08-03~2,0,0,0,0 07-25~3,1,1,1,0 07-22~5,4,3,1,0 07-17~84,55,38,14,0 08-04~1,0,0,0,0 07-29~2,1,1,1,0 07-19~11,8,3,1,0 08-02~1,0,0,0,0 08-07~2,0,0,0,0 08-28~1,0,0,0,0 07-21~6,3,2,1,0 07-20~5,4,4,0,0 all~208,138,92,36,3
105400053_502897|3|00000002:/de/blog 00000002:/es/blog 00000013:/blog|all~17,4,4,4,2 08-02~2,0,0,0,0 07-17~56,1,0,0,0 07-24~1,0,0,0,0 07-20~2,0,0,0,0 07-18~1,0,0,0,0 08-10~1,1,1,0,0 07-21~4,0,0,0,0 07-23~1,0,0,0,0 07-19~1,0,0,0,0
105400053_502900|4|00000011:/es/blog 00000021:/ja/blog 00000026:/tr/blog 00000807:/blog|07-19~128,0,0,0,0 08-06~5,0,0,0,0 08-29~1,0,0,0,0 08-07~2,0,0,0,0 07-22~136,0,0,0,0 07-28~1,0,0,0,0 07-30~2,0,0,0,0 07-17~56,5,3,1,0 08-02~5,0,0,0,0 07-21~118,0,0,0,0 07-23~284,0,0,0,0 07-24~33,0,0,0,0 08-05~2,0,0,0,0 07-20~53,0,0,0,0 07-25~1,0,0,0,0 08-12~1,0,0,0,0 07-18~56,0,0,0,0 all~865,6,4,2,2
105400053_502976|6|00000001:/de/crypto-casino 00000001:/es/crypto-casino 00000001:/no/crypto-casino 00000001:/pt/crypto-casino 00000002:/fr/crypto-casino 00000061:/crypto-casino|07-19~24,12,5,3,2 08-21~1,0,0,0,0 07-18~15,8,5,0,0 07-25~2,0,0,0,0 07-17~44,17,4,2,1 07-23~1,0,0,0,0 07-20~1,0,0,0,0 all~67,33,14,5,3
105400053_503064|2|00000001:/de/promotions/world-cup-finals-special 00000042:/promotions/world-cup-finals-special|07-20~1,0,0,0,0 07-19~7,4,1,0,0 07-17~1,1,1,0,0 07-18~39,12,9,1,0 all~43,18,11,1,0
